40501,-256.873,4.977,27.562,Chapter 1 Start
40510,-174.225,10.032,76.859,Hunter House Basement
40510,-183.108,13.473,67.626,Hunter House Exit
40530,-116.231,7.318,54.088,Village Hunter Road Typewriter (Save Point)
40200,-47.620,0.193,17.498,Village Entrance
40200,19.827,5.553,-10.661,Village Tower
40201,47.409,3.255,-31.361,Farm Entrance
43300,48.886,2.745,-55.301,Farm Typewriter (Save Point)
43310,65.864,6.700,-78.008,Farm Window Access
43301,53.281,4.079,-132.367,Farm After Bridge
43301,86.459,2.499,-116.469,Farm Before Landslide
43400,173.444,-5.708,-109.008,Lake Dwelling
43410,230.147,-3.548,-127.328,Lake Dwelling House
43410,244.653,-7.074,-142.942,Lake Dwelling House Basement
44410,3.829,-6.038,231.452,Chapter 2 Start
44210,-1.992,-0.779,189.447,Chapter 2 Start Locker Room
44200,12.948,-1.120,176.989,Abandoned Factory Typewriter (Save Point)
44400,60.779,-5.535,207.956,Valley Near Abandoned Factory
44201,17.578,-1.183,164.087,Abandoned Factory After Sigil Door
44101,-5.701,8.609,102.684,Chief's House Exterior
44110,13.757,12.866,98.218,Chief's House Typewriter (Save Point)
44110,7.905,12.867,106.494,Chief's House Chamber
44102,-19.458,4.911,73.257,Chief's House Village Path
40212,26.001,1.026,2.398,Community Center
40213,36.823,1.007,22.334,Community Center Typewriter (Save Point)
45200,72.677,3.873,55.171,Cemetery
45200,93.365,10.069,88.364,Church Front Door
45401,97.141,9.753,104.460,Church Grounds Typewriter (Save Point)
45401,96.035,9.746,103.494,Church Typewriter (Save Point)
45301,136.850,9.081,138.922,Bridge After Church
45302,179.297,8.001,154.496,Carrier Entrance
45302,183.866,8.001,131.247,Carrier Fight Arena
46210,209.506,1.101,110.920,Merchant Hideout Typewriter (Save Point)
45500,222.073,3.604,88.874,Carrier Lake Exit
45400,174.452,-0.300,77.969,Fish Farm Entrance
45410,112.197,-3.813,46.827,Fish Farm Fuel Room
46111,337.783,-7.498,85.847,After Del Lago Kill
46201,309.285,-4.042,157.689,Lake Shrine
46100,409.678,-7.487,-22.976,Lake Eggs Area
46100,307.619,-7.461,-9.974,Lake Ships
45300,119.143,-7.272,144.241,Lake Small Area 1
46200,217.306,-7.429,166.750,Lake Objective 1 (Nearest)
46110,403.528,-7.501,-135.741,Lake Objective 2 (Farthest)
45401,101.612,11.186,95.774,Church Main
45401,112.426,16.225,100.302,Church Upper
45401,112.551,22.280,101.466,Church Ashley Boost Area
40200,-16.417,0.169,-2.840,Village Ashley Boost Area
44110,11.192,16.817,106.277,Chief's House Ashley Boost Area
43311,59.804,5.500,-157.243,Invaded House Interior
47100,79.313,9.501,-153.920,After Invaded House
47100,99.784,8.125,-162.438,Village to Control Post Typewriter (Save Point)
47101,80.368,7.988,-185.124,Village to Control Post Area 1
47102,98.415,7.996,-233.344,Village to Control Post Area 2
47200,165.012,2.757,-209.603,Control Post Exterior
47200,149.158,2.790,-219.275,Control Post Interior
47200,163.137,2.547,-197.430,Control Post to Butchery Road Area 1
47300,214.644,3.619,-209.776,Control Post to Butchery Road Area 2 (Mendez)
47400,280.867,9.680,-241.103,Butchery Typewriter (Save Point)
47410,287.039,13.895,-236.350,Slaughterhouse Area 1
47410,287.799,9.895,-217.793,Slaughterhouse Area 2
47401,276.382,9.895,-220.656,Butchery to Castle Road Area 1
50200,-345.596,-7.218,58.698,Castle Entrance (Chapter Start)
50200,-309.756,-6.807,65.196,Castle Entrance Typewriter (Save Point)
50201,-274.513,-4.899,74.869,Chapel
50202,-251.472,-0.969,52.468,Chapel to Castle
50300,-220.435,4.128,60.380,Castle Door
50300,-232.142,2.048,59.589,Castle Door Cannon
50400,-171.947,9.952,58.698,Audience Chamber Typewriter (Save Point)
50401,-132.083,11.952,43.075,Audience Chamber Ashley Boost Area
50500,-130.476,12.000,36.278,Audience Chamber Hole to Dungeons
50503,-134.717,4.500,10.490,Dungeons Cell
50501,-123.251,8.536,13.831,Dungeon to Treasury
50504,-121.374,17.952,12.843,Treasury Area 1
50504,-110.693,17.952,22.433,Treasury Area 2
50505,-121.423,17.952,34.457,Treasury to Audience Chamber
50401,-138.126,17.952,42.760,Upper Audience Chamber Area 1
50401,-123.299,20.284,52.779,Upper Audience Chamber Area 2
50600,-110.718,14.902,62.260,After Audience Chamber Typewriter (Save Point)
50601,-85.240,13.937,62.994,Water Hall Area 1
50601,-61.974,8.505,52.388,Water Hall Area 2
50601,-55.693,16.985,62.929,Water Hall Area 3
51100,13.606,20.951,64.350,Water Hall to Courtyard
51101,37.566,20.952,28.479,Water Hall Chapter 8 Start
